##	NA
1	P48742
ARHGEF15	O94989
ARHGEF16	Q5VV41
ARHGEF17	Q96PE2
ARHGEF18	Q6ZSZ5
ARHGEF19	Q8IW93
ARHGEF2	Q92974
ARHGEF3	Q9NR81
ARHGEF5	Q12774
ARHGEF6	Q15052
ARHGEF7	Q14155
ARHGEF9	O43307
ARHH	Q15669
ARID1A	O14497
ARID1B	Q8NFD5
ARID2	Q68CP9
ARID3A	Q99856
ARID3B	Q8IVW6
ARID3C	A6NKF2
ARID4A	P29374
ARID5A	Q03989
ARID5B	Q14865
ARIH2	O95376
ARL1	P40616
ARL13B	Q3SXY8
ARL2	P36404
ARL2BP	Q9Y2Y0
ARL3	P36405
ARL5C	A6NH57
ARL6IP4	Q66PJ3
ARL6IP5	O75915
ARL6IP6	Q8N6S5
ARL8A	Q96BM9
ARMC1	Q9NVT9
ARMC10	Q8N2F6
ARMC2	Q8NEN0
ARMC5	Q96C12
ARMC9	Q7Z3E5
ARMCX1	Q9P291
ARMCX2	Q7L311
ARMCX3	Q9UH62
ARMCX6	Q7L4S7
ARNT	P27540
ARNT2	Q9HBZ2
ARNTL	O00327
ARPC2	O15144
ARPC3	O15145
ARPP19	P56211
ARR3	P36575
ARRB1	P49407
ARRB2	P32121
ARRDC1	Q9H2J1
ARRDC2	Q8TBH0
ARRDC3	Q96B67
ARRDC4	Q8NCT1
ARSB	P15848
ARSF	P54793
ARSG	Q96EG1
ARSI	Q5FYB1
ARSJ	Q5FYB0
ARVCF	O00192
ARX	Q96QS3
AS3MT	Q9HBK9
ASAP1	Q9ULH1
ASAP2	O43150
ASAP3	Q8TDY4
ASB1	Q9Y576
ASB11	Q8WXH4
ASB18	Q6ZVZ8
ASB4	Q9Y574
ASB9	Q96DX5
ASCC2	Q9H1I8
ASCC3	Q8N3C0
ASCC3L1	O75643
ASCL2	Q99929
ASF1A	Q9Y294
ASF1B	Q9NVP2
ASGR1	P07306
ASH1L	Q9NR48
ASH2L	Q9UBL3
ASMTL	O95671
ASNA1	O43681
ASNSD1	Q9NWL6
ASPH	Q12797
ASPHD1	Q5U4P2
ASPHD2	Q6ICH7
ASPM	Q8IZT6
ASPSCR1	Q9BZE9
ASS	P00966
ASTN1	O14525
ASXH1	Q76L82
AT3	P01008
ATAD2	Q6PL18
ATAD3A	Q9NVI7
ATAD3C	Q5T2N8
ATAD4	Q9BU68
ATAD5	Q96QE3
ATE1	O95260
ATF	Q96SE8
ATF1	P18846
ATF2	P15336
ATF3	P18847
ATF4	P18848
ATF6	P18850
ATF7	P17544
ATF7IP	Q6VMQ6
ATF7IP2	Q5U623
ATG14	Q6ZNE5
ATG16L1	Q676U5
ATG16L2	Q8NAA4
ATG2A	Q2TAZ0
ATG2B	Q96BY7
ATG3	Q9NT62
ATG4A	Q8WYN0
ATG4B	Q9Y4P1
ATG4C	Q96DT6
ATG4D	Q86TL0
ATG5	Q9H1Y0
ATG7	O95352
ATIC	P31939
ATL1	Q8WXF7
ATL2	Q8NHH9
ATL3	Q6DD88
ATM	Q13315
ATMIN	O43313
ATN1	P54259
ATOH1	Q92858
ATOH8	Q96SQ7
ATP10A	O60312
ATP10B	O94823
ATP10D	Q9P241
ATP11A	P98196
ATP11B	Q9Y2G3
ATP11C	Q8NB49
ATP12A	P54707
ATP13A1	Q9HD20
ATP13A2	Q9NQ11
ATP13A3	Q9H7F0
ATP13A4	Q4VNC1
ATP13A5	Q4VNC0
ATP1A1	Q5TC04
ATP2B1	P20020
ATP2B2	P23634
ATP2B3	Q16720
ATP2B4	P23634
ATP4A	P20648
ATP5A	P25705
ATP5A1	P25705
ATP5B	P06576
ATP5C1	P36542
ATP5D	P30049
